qtype,node,k,node_count,hops_reached,latency_ms
k_hop,yentinglin/TaiwanChat,5,28,4,0.0
descendants,bunnycore/FuseQwQen-7B,5,113,5,0.0
ancestors,MikuMasterRace/Hatsune_Miku_-_Neko_and_Brite_-_Fortnite_-_IllustriousXL_v2,10,3,2,0.0
ancestors,cis-lmu/Glot500,2,21,2,0.0
ancestors,jkazdan/128R-256F-gemma-2-2b_hs2_iter1_sftsd1,5,2,1,0.0
ancestors,RefalMachine/solar_10.7_saiga_lora,2,2,1,0.0
k_hop,IgorVolochay/russian_jokes,10,30,1,0.0
descendants,tuanna08go/ff34825d-d226-4b29-80c4-e1fcab3fbe85,5,1,0,0.0
k_hop,cyrp/distilbert-base-uncased-gnad10,2,2,1,0.0
descendants,Intel/dpt-large,3,3,1,0.0
ancestors,filipesantoscv11/acaa61c2-f2d3-4c7c-b117-97ae0271b51b,3,3,2,0.0
descendants,dylanewbie/whisper-large-v2-ft-cv16-1__car200-e3n4-A50B100_car100-n4r2_car50-r2n2_owner12-copy2x-250308-v1,10,1,0,0.0
k_hop,LeroyDyer/SpydazWeb_AI_DolphinCoder_7b,10,1,0,0.0
ancestors,mradermacher/koala-7B-HF-i1-GGUF,2,2,1,0.0
ancestors,inclusionAI/Ming-Lite-Omni,2,2,1,0.0
ancestors,deepseek-ai/DeepSeek-V2.5,5,1,0,0.0
descendants,bullerwins/Mistral-Large-Instruct-2411-exl2_5.5bpw,5,1,0,0.0
descendants,saresri/opt350m-lora-pruned-magnited-2-4,2,1,0,0.0
k_hop,mradermacher/openbuddy-zero-3b-v21.2-32k-i1-GGUF,2,2,1,0.0
ancestors,damiam/bge-base-en-v1.5-few-shot-sex,5,2,1,0.0
descendants,chchen/Qwen2.5-7B-Instruct-PsyCourse-doc-fold9,2,1,0,0.0
ancestors,multimolecule/ribonanzanet-deg,2,2,1,0.0
descendants,cognitivecomputations/dolphin-2.8-experiment26-7b,3,37,3,0.0
ancestors,sajjadhadi/Disease-Diagnosis-DeepSeek-R1-Distill-Llama-8B,10,3,1,0.0
descendants,ghost613/faster-whisper-large-v3-turbo-korean,5,1,0,0.0
k_hop,NikolayKozloff/OpenThinker3-7B-Q8_0-GGUF,10,4,3,0.0
ancestors,mradermacher/Llama-3-8B-TitanFusion-Mix-2-GGUF,3,15,3,0.0
descendants,mradermacher/Llama-3.1-1-million-ctx-DeepHermes-Deep-Reasoning-8B-GGUF,10,1,0,0.0
descendants,passing2961/Thanos-1B,10,112,5,0.0
descendants,Qwen/Qwen2.5-Coder-14B-Instruct,2,249,2,0.0
descendants,nanom/bert_adaptation_peppa_pig,10,1,0,0.0
